,CustomerID,Price,Product_Bag,Product_Baseball_Kit,Product_Basket_Ball,Product_Bed,Product_Bench,Product_Cabinet,Product_Camping_Net,Product_Chair,Product_Computer,Product_Cooler,Product_Couch,Product_Cricket_Bat,Product_Cricket_Kit,Product_Cupboard,Product_Desk,Product_Football,Product_Fridge,Product_Half_Pant,Product_Heater,Product_Hockey_Kit,Product_Hoodie,Product_Javeline,Product_Joggers,Product_Laptop,Product_Medical_Kit,Product_Pant,Product_Rope,Product_Season_Ball,Product_Shelve,Product_Shirt,Product_Shoes,Product_Sleeping_Bag,Product_Slippers,Product_Smartphone,Product_Soffa,Product_Speaker,Product_Stand,Product_Stick,Product_Stove,Product_Suit,Product_TShirt,Product_TT_Kit,Product_TV,Product_Table,Product_Tablet,Product_Tennis_Ball,Product_Tools_Kit,Color_c,Color_g,Color_p,Color_r,Color_w,Color_y,Size_M,Size_S,Size_XL,Size_XXL,Cluster
0,1,2053.305,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,1,1,2,0,0,0,0,1,2,0,0,0,0,1,0,1,0,2,2,4,2,3,1,0,5,4,4,0
1,2,7661.105,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,3,3,2,0,0,0,0,0,1,2,0,0,1,0,0,3,1,1,0,0,1,1,1,4,5,0,4,5,3,3,6,13,2,1
2,3,6692.555,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,5,2,5,1,2,1,7,2,4,1,4
3,4,8842.595,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,2,2,0,0,2,0,0,0,1,1,2,1,0,0,0,1,3,0,0,4,3,0,0,0,2,7,7,2,6,3,4,9,5,8,10,1
4,5,5124.0199999999995,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,3,2,0,3,5,4
5,6,13122.31,2,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,2,0,3,1,2,0,0,2,0,1,0,1,1,0,0,1,0,5,4,5,4,3,8,4,8,4,8,2
6,7,11416.385,2,2,1,1,1,0,1,0,0,1,0,0,1,0,0,0,2,0,1,0,1,2,1,1,3,1,0,1,0,0,1,1,0,0,0,0,0,2,1,1,1,0,0,1,2,0,1,3,6,7,6,4,4,12,8,6,4,3
7,8,2840.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,3,1,1,1,2,2,2,3,0
8,9,14753.51,0,0,0,0,1,0,0,0,2,3,1,0,2,1,0,0,0,0,1,0,1,1,0,1,1,2,0,1,0,0,0,2,3,1,0,1,0,1,2,0,0,0,1,0,0,0,3,3,3,6,2,6,7,4,7,10,5,2
9,10,14420.74,1,1,0,2,0,2,3,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,2,0,0,0,0,2,2,1,3,0,0,1,0,1,1,0,1,1,2,0,1,0,0,5,4,6,3,7,7,5,12,7,5,2
10,11,4102.02,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,2,1,0,0,0,1,0,0,1,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,2,4,2,2,2,5,4,5,0
11,12,6124.86,3,1,0,0,0,1,1,0,0,1,0,1,2,0,0,0,0,0,0,0,1,1,2,0,1,1,0,0,0,1,2,0,1,0,0,0,1,0,4,0,1,1,1,0,0,0,2,5,3,4,3,5,6,2,6,6,7,4
12,13,8415.285,0,2,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,3,1,2,0,2,1,1,0,1,0,2,0,0,0,1,0,0,3,1,1,0,0,1,2,1,0,0,3,5,6,4,6,4,7,7,2,7,1
13,14,7356.475,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,1,2,1,6,2,1,1,1
14,15,10898.85,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,1,1,1,0,2,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,2,0,0,0,2,2,1,2,4,7,4,4,4,6,4,9,5,3
15,16,8477.86,1,0,1,0,0,0,0,0,2,0,0,0,0,1,2,1,1,0,1,1,1,0,1,0,1,2,2,0,0,1,2,1,1,0,0,0,0,1,1,0,1,1,0,0,0,2,0,2,5,7,4,5,2,8,3,6,6,1
16,17,7134.67,1,1,0,0,0,0,1,1,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,6,1,3,3,3,4,3,6,5,6,1
17,18,4722.305,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,2,2,1,1,4,2,2,2,4
18,19,4115.855,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,3,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,4,1,3,4,3,3,2,6,2,0
